Region,Decile,Total Income
REGION VIII - EASTERN VISAYAS,Ninth Decile,40231.17
REGION VIII - EASTERN VISAYAS,Tenth Decile,87492.16
REGION IX - ZAMBOANGA PENINSULA,First Decile,8626.28
REGION IX - ZAMBOANGA PENINSULA,Second Decile,10751.1
REGION IX - ZAMBOANGA PENINSULA,Third Decile,12541.66
REGION IX - ZAMBOANGA PENINSULA,Fourth Decile,13325.93
REGION IX - ZAMBOANGA PENINSULA,Fifth Decile,14920.0
REGION IX - ZAMBOANGA PENINSULA,Sixth Decile,16401.19
REGION IX - ZAMBOANGA PENINSULA,Seventh Decile,17842.83
REGION IX - ZAMBOANGA PENINSULA,Eighth Decile,21405.96
REGION IX - ZAMBOANGA PENINSULA,Ninth Decile,28936.07
REGION IX - ZAMBOANGA PENINSULA,Tenth Decile,63844.2
REGION X - NORTHERN MINDANAO,First Decile,16105.87
REGION XI - DAVAO REGION,First Decile,16105.87
REGION X - NORTHERN MINDANAO,Second Decile,20499.38
REGION XI - DAVAO REGION,Second Decile,20499.38
REGION X - NORTHERN MINDANAO,Third Decile,23096.38
REGION XI - DAVAO REGION,Third Decile,23096.38
REGION X - NORTHERN MINDANAO,Fourth Decile,24818.32
REGION XI - DAVAO REGION,Fourth Decile,24818.32
REGION X - NORTHERN MINDANAO,Fifth Decile,28274.39
REGION XI - DAVAO REGION,Fifth Decile,28274.39
REGION X - NORTHERN MINDANAO,Sixth Decile,31428.78
REGION XI - DAVAO REGION,Sixth Decile,31428.78
REGION X - NORTHERN MINDANAO,Seventh Decile,35652.57
REGION XI - DAVAO REGION,Seventh Decile,35652.57
REGION X - NORTHERN MINDANAO,Eighth Decile,42233.38
REGION XI - DAVAO REGION,Eighth Decile,42233.38
REGION X - NORTHERN MINDANAO,Ninth Decile,54312.5
REGION XI - DAVAO REGION,Ninth Decile,54312.5
REGION X - NORTHERN MINDANAO,Tenth Decile,116375.65
REGION XI - DAVAO REGION,Tenth Decile,116375.65
REGION XII - SOCCSKSARGEN,First Decile,11314.7
REGION XII - SOCCSKSARGEN,Second Decile,13856.51
REGION XII - SOCCSKSARGEN,Third Decile,16255.16
REGION XII - SOCCSKSARGEN,Fourth Decile,17891.47
REGION XII - SOCCSKSARGEN,Fifth Decile,19920.62
REGION XII - SOCCSKSARGEN,Sixth Decile,22036.91
REGION XII - SOCCSKSARGEN,Seventh Decile,24822.17
REGION XII - SOCCSKSARGEN,Eighth Decile,30915.72
REGION XII - SOCCSKSARGEN,Ninth Decile,38838.76
REGION XII - SOCCSKSARGEN,Tenth Decile,87102.35
REGION XIII - CARAGA,First Decile,6769.64
REGION XIII - CARAGA,Second Decile,8224.95
REGION XIII - CARAGA,Third Decile,8891.27
REGION XIII - CARAGA,Fourth Decile,9775.63
REGION XIII - CARAGA,Fifth Decile,10800.05
REGION XIII - CARAGA,Sixth Decile,12194.64
REGION XIII - CARAGA,Seventh Decile,13714.5
REGION XIII - CARAGA,Eighth Decile,16173.45
REGION XIII - CARAGA,Ninth Decile,23852.59
REGION XIII - CARAGA,Tenth Decile,55440.22
BARMM,First Decile,7579.89
BARMM,Second Decile,9205.0
BARMM,Third Decile,10306.03
BARMM,Fourth Decile,11601.53
BARMM,Fifth Decile,12151.46
BARMM,Sixth Decile,12700.56
BARMM,Seventh Decile,13487.08
BARMM,Eighth Decile,13634.05
BARMM,Ninth Decile,14891.13
BARMM,Tenth Decile,23074.17
